responseid,familiar,crisis,reproducible,age,discipline,discipline-other,continent
24,4 - Fairly familiar,yes,90,65 or over,Other,Interferon,Europe
27,5 - Very familiar,yes,40,25 - 34,Other,communication studies,Europe
36,5 - Very familiar,yes,30,45 - 54,Other,Neurophysiology,Europe
107,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
112,4 - Fairly familiar,yes,70,18 - 24,Biology,,South America
114,5 - Very familiar,yes,20,25 - 34,Other,Psychology,Europe
117,4 - Fairly familiar,yes,70,25 - 34,Biology,,Europe
145,5 - Very familiar,yes,30,25 - 34,Other,Cognitive Psychology,Europe
179,5 - Very familiar,no,80,45 - 54,Earth Science,,Australasia
180,5 - Very familiar,yes,80,25 - 34,Biology,,Europe
188,4 - Fairly familiar,yes,40,25 - 34,Biology,,Europe
190,5 - Very familiar,yes,80,35 - 44,Biology,,North America
196,4 - Fairly familiar,yes,70,18 - 24,Medicine,,North America
202,4 - Fairly familiar,yes,10,25 - 34,Biology,,Europe
203,5 - Very familiar,yes,90,25 - 34,Materials Science,,Europe
220,5 - Very familiar,yes,60,35 - 44,Biology,,North America
226,4 - Fairly familiar,yes,30,35 - 44,Other,Social scientist,North America
227,2 - Not very familiar,yes,50,25 - 34,Biology,,South America
246,4 - Fairly familiar,yes,60,25 - 34,Other,Social Sciences,North America
277,4 - Fairly familiar,yes,20,25 - 34,Biology,,Europe
341,3 - Somewhat familiar,yes,30,25 - 34,Biology,,Europe
344,5 - Very familiar,yes,90,35 - 44,Physics,,Europe
357,5 - Very familiar,yes,70,25 - 34,Engineering,,South America
361,5 - Very familiar,yes,70,35 - 44,Other,computer science ,Asia
370,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
373,5 - Very familiar,yes,80,18 - 24,Other,Epidemiology,North America
386,4 - Fairly familiar,yes,50,65 or over,Other,Cognition,South America
448,4 - Fairly familiar,yes,20,35 - 44,Chemistry,,North America
449,5 - Very familiar,yes,60,25 - 34,Chemistry,,Europe
451,5 - Very familiar,yes,50,25 - 34,Medicine,,Europe
452,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
499,4 - Fairly familiar,yes,40,25 - 34,Biology,,Europe
505,5 - Very familiar,yes,40,25 - 34,Biology,,Europe
514,4 - Fairly familiar,yes,80,18 - 24,Materials Science,,Europe
515,5 - Very familiar,yes,80,35 - 44,Physics,,Europe
517,5 - Very familiar,yes,20,35 - 44,Medicine,,Europe
527,5 - Very familiar,yes,10,25 - 34,Chemistry,,North America
529,4 - Fairly familiar,yes,70,25 - 34,Engineering,,North America
533,5 - Very familiar,yes,10,25 - 34,Biology,,Europe
535,5 - Very familiar,yes,90,18 - 24,Chemistry,,North America
543,5 - Very familiar,yes,90,35 - 44,Chemistry,,Europe
546,5 - Very familiar,yes,70,35 - 44,Biology,,North America
549,4 - Fairly familiar,yes,70,25 - 34,Biology,,Europe
613,5 - Very familiar,yes,50,35 - 44,Medicine,,Europe
625,4 - Fairly familiar,yes,80,25 - 34,Biology,,Europe
634,4 - Fairly familiar,yes,80,55 - 64,Earth Science,,North America
666,4 - Fairly familiar,yes,70,25 - 34,Biology,,Europe
683,5 - Very familiar,no,80,45 - 54,Earth Science,,North America
684,4 - Fairly familiar,yes,30,35 - 44,Biology,,North America
689,5 - Very familiar,yes,80,55 - 64,Biology,,North America
692,5 - Very familiar,yes,30,35 - 44,Other,Psychology,North America
696,4 - Fairly familiar,yes,40,55 - 64,Biology,,Europe
701,5 - Very familiar,yes,40,25 - 34,Biology,,North America
702,5 - Very familiar,yes,30,35 - 44,Other,ethology,Europe
717,5 - Very familiar,yes,50,18 - 24,Engineering,,North America
718,4 - Fairly familiar,yes,60,25 - 34,Materials Science,,Europe
722,5 - Very familiar,yes,80,25 - 34,Biology,,Europe
742,5 - Very familiar,yes,50,45 - 54,Biology,,North America
744,5 - Very familiar,yes,40,25 - 34,Biology,,North America
746,3 - Somewhat familiar,yes,80,45 - 54,Biology,,North America
750,5 - Very familiar,yes,90,35 - 44,Biology,,North America
751,5 - Very familiar,yes,40,35 - 44,Biology,,North America
754,5 - Very familiar,yes,50,45 - 54,Biology,,Europe
757,5 - Very familiar,yes,70,25 - 34,Biology,,North America
764,4 - Fairly familiar,yes,80,25 - 34,Materials Science,,South America
766,5 - Very familiar,yes,90,45 - 54,Biology,,South America
767,5 - Very familiar,yes,70,55 - 64,Biology,,North America
768,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
769,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
770,4 - Fairly familiar,yes,70,25 - 34,Biology,,South America
772,5 - Very familiar,yes,30,25 - 34,Biology,,North America
773,4 - Fairly familiar,no,80,45 - 54,Biology,,Asia
774,5 - Very familiar,yes,40,35 - 44,Biology,,North America
775,3 - Somewhat familiar,yes,90,35 - 44,Physics,,Asia
776,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
777,5 - Very familiar,yes,50,18 - 24,Biology,,North America
778,5 - Very familiar,yes,90,35 - 44,Biology,,North America
779,5 - Very familiar,yes,70,55 - 64,Biology,,North America
783,5 - Very familiar,yes,70,35 - 44,Biology,,North America
784,5 - Very familiar,yes,70,25 - 34,Materials Science,,Europe
789,5 - Very familiar,yes,70,65 or over,Chemistry,,North America
795,5 - Very familiar,yes,10,25 - 34,Medicine,,North America
797,4 - Fairly familiar,yes,90,25 - 34,Physics,,North America
800,5 - Very familiar,yes,50,25 - 34,Biology,,North America
801,5 - Very familiar,yes,70,25 - 34,Biology,,North America
804,4 - Fairly familiar,yes,80,65 or over,Physics,,Europe
807,5 - Very familiar,yes,80,25 - 34,Engineering,,North America
808,5 - Very familiar,yes,0,65 or over,Other,Wissenschaft,North America
809,5 - Very familiar,yes,30,35 - 44,Biology,,Europe
811,5 - Very familiar,no,80,25 - 34,Biology,,North America
812,4 - Fairly familiar,yes,50,65 or over,Biology,,North America
813,4 - Fairly familiar,yes,50,25 - 34,Other,Microbiology,North America
817,5 - Very familiar,yes,30,25 - 34,Other,Psychology,Europe
825,5 - Very familiar,yes,90,25 - 34,Biology,,Australasia
827,5 - Very familiar,yes,80,25 - 34,Biology,,Asia
830,5 - Very familiar,yes,60,35 - 44,Chemistry,,Europe
833,5 - Very familiar,yes,60,25 - 34,Biology,,North America
834,5 - Very familiar,yes,80,25 - 34,Materials Science,,Europe
836,2 - Not very familiar,yes,50,25 - 34,Earth Science,,South America
839,5 - Very familiar,yes,30,35 - 44,Other,Psychology,Europe
841,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
842,5 - Very familiar,yes,50,25 - 34,Biology,,North America
843,5 - Very familiar,yes,60,35 - 44,Physics,,Europe
851,5 - Very familiar,yes,20,45 - 54,Biology,,Europe
853,5 - Very familiar,yes,30,35 - 44,Medicine,,North America
914,4 - Fairly familiar,no,80,25 - 34,Biology,,North America
916,4 - Fairly familiar,yes,50,25 - 34,Medicine,,North America
950,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
952,5 - Very familiar,yes,50,35 - 44,Chemistry,,North America
954,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
966,5 - Very familiar,yes,50,55 - 64,Medicine,,North America
984,5 - Very familiar,yes,60,35 - 44,Medicine,,Europe
985,5 - Very familiar,yes,20,25 - 34,Engineering,,Europe
986,5 - Very familiar,yes,50,25 - 34,Biology,,North America
1004,5 - Very familiar,yes,90,55 - 64,Physics,,Europe
1006,5 - Very familiar,yes,60,35 - 44,Medicine,,South America
1008,5 - Very familiar,yes,80,35 - 44,Biology,,Europe
1015,5 - Very familiar,yes,60,45 - 54,Astonomy,,Asia
1029,4 - Fairly familiar,yes,60,25 - 34,Biology,,Europe
1032,5 - Very familiar,no,90,45 - 54,Biology,,Europe
1038,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
1039,4 - Fairly familiar,yes,20,35 - 44,Biology,,Europe
1053,3 - Somewhat familiar,yes,80,25 - 34,Biology,,North America
1055,3 - Somewhat familiar,no,0,45 - 54,Engineering,,North America
1057,5 - Very familiar,yes,50,35 - 44,Medicine,,North America
1058,5 - Very familiar,yes,50,25 - 34,Biology,,North America
1061,5 - Very familiar,yes,60,25 - 34,Other,Chemical Biology,North America
1067,5 - Very familiar,yes,60,35 - 44,Other,Linguistics,North America
1072,4 - Fairly familiar,yes,50,25 - 34,Medicine,,Europe
1074,5 - Very familiar,yes,20,25 - 34,Biology,,Europe
